,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
403,2020/4/3 19:10,10,0,0,20,100,100,2.02004E+11
404,2020/4/3 19:20,10,0,0,20,100,100,2.02004E+11
405,2020/4/3 19:30,10,0,0,20,100,100,2.02004E+11
406,2020/4/3 19:40,10,0,0,20,100,100,2.02004E+11
407,2020/4/3 19:50,10,0,0,20,100,100,2.02004E+11
408,2020/4/3 20:00,10,0,0,20,100,100,2.02004E+11
409,2020/4/3 20:10,10,0,0,20,100,100,2.02004E+11
410,2020/4/3 20:20,10,0,0,20,100,100,2.02004E+11
411,2020/4/3 20:30,10,0,0,20,100,100,2.02004E+11
412,2020/4/3 20:40,10,0,0,20,100,100,2.02004E+11
413,2020/4/3 20:50,10,0,0,20,100,100,2.02004E+11
